COMPANY,DATE,ADDRESS,TOTAL,CATEGORY
MARIOS MEAT MARKET,,"12326 CLEVELAND AVE FORT MYERS, FL 33907 Lavazza Gran Selezione",545.53,Tạp hóa
SECURE PARKING CORPORATION  S/B,,Riverwalk Vinlage Batu 3 Ja al) Ipoh 51200 KL,,Tạp hóa
LIGHTROOM GALLERY SDN BHD,,"No: 28, TALAN ASTANA 1C, BANDAR  IsUKIT RAJA, 41050 KLANG  SEIANGOR D. E, MALAYSTA",278. 80,Tạp hóa
OLDTOWN WHITE COFFEE Old Town Kopitiam Sdn Bhd (716269-X),,,,Tạp hóa
UROKO JAPANESE CUISINE SDN BHD,20/03/2018 6.41:02 PM,"224-1, JALAN 17/54, SECTION 17 , 46400 PETALING JAYA, SELANGOR",53.00,Tạp hóa
,27/01/2018,"NO58, JALAN BESAR, 45600 QERSUNTA; SELANGOR DARUL EHSANA",27.35,Tạp hóa
,15/03/2018,BerzGita SHLANOORDARUL EHSAN,,Tạp hóa
SYARIKAT PERNIAGAAN GIN KEE,03/01/2018,"NO 290,JALAN AIR PANAS, SETAPAK 53200, KUALA LUMPUR;",94 34,Tạp hóa
SYARIKAT PERNIAGAAN GIN KEE,,"NO 290,JALAN AIR PANAS, SETAPAK 53200, KUALA LUMPUR",10.60,Tạp hóa
SYARIKAT PERNIAGAAN GIN KEE,15/01/2018,"NO 290,JALAN AIR PANAS, SETAPAK, 53200,KUALA LUMPUR;",,Tạp hóa
SYARIKAT PERNIAGAAN GIN KEE,,"NO 290,JALAN AIR PANAS SETAPAK 53200, KUALA LUMPUR:",09 38*00,Tạp hóa
SYARIKAT PERNIAGAAN GIN KEE,31/01/2018,"NO 290, JALAN AIR PANAS SETAPAK 53200,KUALA LUMPUR;",10.41.00,Tạp hóa
SYARIKAT PERNIAGAAN GIN KEE,27/01/2018,"NO 290,JALAN AIR PANAS, SETAPAK 53200,KUALA LUMPUR;",,Tạp hóa
SYARIKAT PERNIAGAAN GIN KEE,02/02/2018,"NO 290,JALAN AIR PANAS, SETAPAK 53200, KUALA LUMPUR,",16.30 00,Tạp hóa
WES ERN EASTERN STATI ONERY SUN BHD),26-02-2018,42 -46 JLN SUL TAN AZLAN SHAH 5 1200 KUALA LUMPUR,,Du lịch
SYARIKAT PERNIAGAAN GIN KEE,03/01/2018,"NO 290,JALAN AIR PANAS, SETAPAK 53200, KUALA LUMPUR;",94 34,Tạp hóa
SYARIKAT PERNIAGAAN GIN KEE,,"NO 290,JALAN AIR PANAS, SETAPAK 53200, KUALA LUMPUR",10.60,Tạp hóa
SYARIKAT PERNIAGAAN GIN KEE,15/01/2018,"NO 290,JALAN AIR PANAS, SETAPAK, 53200,KUALA LUMPUR;",,Tạp hóa
SYARIKAT PERNIAGAAN GIN KEE,,"NO 290,JALAN AIR PANAS SETAPAK 53200, KUALA LUMPUR:",09 38*00,Tạp hóa
SYARIKAT PERNIAGAAN GIN KEE,31/01/2018,"NO 290, JALAN AIR PANAS SETAPAK 53200,KUALA LUMPUR;",10.41.00,Tạp hóa
SYARIKAT PERNIAGAAN GIN KEE,27/01/2018,"NO 290,JALAN AIR PANAS, SETAPAK 53200,KUALA LUMPUR;",,Tạp hóa
SYARIKAT PERNIAGAAN GIN KEE,02/02/2018,"NO 290,JALAN AIR PANAS, SETAPAK 53200, KUALA LUMPUR,",16.30 00,Tạp hóa
WES ERN EASTERN STATI ONERY SUN BHD),26-02-2018,42 -46 JLN SUL TAN AZLAN SHAH 5 1200 KUALA LUMPUR,,Du lịch
GAKDENIA BAKERIES (KL,29/10/2017,"Lot 3, Jalan Pelabur 23/1, 40JUO Shah Alam,","58,86",Vật tư Văn phòng
"GARDKNIA #KERiKSiKI, SIDN BID ( [39386 X)",25/10/2017,"Lol $ Jalan Felabur 23/4, 40300 Shah Alam, Selangor.",35.01,Vật tư Văn phòng
GARDEMIA BAKERIES (KI SIDN BHI) ( [39386 X),22/10/2017,"Lol $, Jalan Pelabur 28/4, 40.Su Shah A Selaugor.",34.21,Vật tư Văn phòng
GAKDEMIA BAKERIES (KI,19/10/2017,"L.ol $ Jalan Felabur 2M/1, 40.Ww Shah Alam, Selangor.","68,63",Vật tư Văn phòng
GARDKNM MAKEFTES (KIH)SDN BHID (139386 X),17 / 10' 2017,"Eol $, Jalan (rlabur 28/1, 40J0U Shah Alam, Sclangor",110.46,Vật tư Văn phòng
GARDENIA BAKERIES (KI)SI) ` MIID (139.386 X),15/10/2017,"Lot $, Jalan Pelabur 40300 Shah Alam, Selangor:","23,56",Vật tư Văn phòng
